UserID    Attendance date     
106000008 2021-03-03 13:08:15 
106000008 2021-03-04 09:24:52 
106000008 2021-03-06 09:57:34 
106000008 2021-03-06 16:21:39 
106000008 2021-03-07 09:13:06 
106000008 2021-03-08 09:39:13 
106000008 2021-03-09 09:34:40 
106000008 2021-03-10 14:28:54 
106000008 2021-03-11 09:28:42 
106000008 2021-03-13 09:11:04 
106000008 2021-03-14 09:28:10 
106000008 2021-03-15 09:22:59 
106000008 2021-03-16 09:28:08 
106000008 2021-03-16 10:43:36 
106000008 2021-03-16 11:44:29 
106000008 2021-03-20 09:33:09 
106000010 2021-03-06 13:40:18 
106000010 2021-03-08 15:04:05 
106000010 2021-03-09 11:49:46 
106000010 2021-03-09 12:17:23 
106000010 2021-03-11 12:22:14 
106000010 2021-03-11 12:57:23 
106000010 2021-03-14 12:46:13 
106000010 2021-03-16 14:38:30 
106000128 2021-03-01 09:14:26 
106000128 2021-03-06 09:02:50 
106000128 2021-03-06 16:59:42 
106000128 2021-03-07 08:58:57 
106000128 2021-03-07 17:00:20 
106000128 2021-03-08 08:59:19 
106000128 2021-03-09 09:24:45 
106000128 2021-03-09 16:55:30 
106000128 2021-03-10 09:49:52 
106000128 2021-03-11 09:28:56 
106000128 2021-03-13 09:10:51 
106000128 2021-03-14 09:22:07 
106000128 2021-03-14 17:02:10 
106000128 2021-03-15 09:23:14 
106000128 2021-03-15 17:01:41 
106000128 2021-03-16 09:28:03 
106000128 2021-03-18 09:19:50 
106000128 2021-03-20 09:08:43 
107000118 2021-03-02 09:11:27 
107000118 2021-03-03 09:20:58 
107000118 2021-03-04 11:43:20 
107000118 2021-03-06 10:30:06 
107000118 2021-03-07 09:11:52 
107000118 2021-03-08 09:20:42 
107000118 2021-03-09 09:24:36 
107000118 2021-03-10 09:49:42 
107000118 2021-03-11 09:28:52 
107000118 2021-03-13 09:10:47 
107000118 2021-03-14 09:22:03 
107000118 2021-03-15 09:23:09 
107000118 2021-03-16 09:27:58 
107000118 2021-03-20 09:08:32 
107000157 2021-03-01 08:15:18 
107000157 2021-03-01 18:49:50 
107000157 2021-03-01 21:06:23 
107000157 2021-03-03 08:14:09 
107000157 2021-03-03 12:52:55 
107000157 2021-03-03 13:38:03 
107000157 2021-03-03 13:40:16 
107000157 2021-03-03 15:57:39 
107000157 2021-03-04 08:13:38 
107000157 2021-03-06 08:22:21 
107000157 2021-03-07 08:16:39 
107000157 2021-03-07 14:52:30 
107000157 2021-03-07 14:54:24 
107000157 2021-03-07 21:35:11 
107000157 2021-03-08 08:18:49 
107000157 2021-03-08 17:23:27 
107000157 2021-03-08 19:02:13 
107000157 2021-03-09 08:19:04 
107000157 2021-03-09 15:00:43 
107000157 2021-03-09 20:31:12 
107000157 2021-03-10 08:20:30 
107000157 2021-03-10 19:26:44 
107000157 2021-03-11 08:22:34 
107000157 2021-03-13 08:19:34 
107000157 2021-03-14 08:17:50 
107000157 2021-03-14 09:52:29 
107000157 2021-03-14 16:31:07 
107000157 2021-03-14 20:02:19 
107000157 2021-03-15 08:32:58 
107000157 2021-03-15 12:08:05 
107000157 2021-03-15 21:19:13 
107000157 2021-03-16 08:22:56 
107000157 2021-03-16 21:33:02 
107000157 2021-03-18 08:13:56 
107000157 2021-03-18 10:12:29 
107000157 2021-03-18 21:37:09 
107000157 2021-03-20 08:17:56 
107000185 2021-03-01 09:14:30 
107000185 2021-03-02 08:16:34 
107000185 2021-03-02 09:11:31 
107000185 2021-03-02 11:46:43 
107000185 2021-03-02 12:34:52 
107000185 2021-03-03 11:41:24 
107000185 2021-03-06 15:26:02 
107000185 2021-03-07 09:03:13 
107000185 2021-03-07 14:31:49 
107000185 2021-03-07 16:53:58 
107000185 2021-03-08 09:33:21 
107000185 2021-03-08 16:55:01 
107000185 2021-03-09 09:24:40 
107000185 2021-03-10 09:49:56 
107000185 2021-03-10 16:29:54 
107000185 2021-03-11 09:29:00 
107000185 2021-03-13 09:10:58 
107000185 2021-03-13 17:01:42 
107000185 2021-03-15 09:23:18 
107000185 2021-03-16 09:28:42 
107000185 2021-03-16 11:58:20 
107000185 2021-03-18 09:19:46 
107000185 2021-03-20 09:08:39 
